asset_id,symbol,name,asset_type,market_code,exchange_code,currency,country,sector,industry,tier,priority_level
AAPL.US,AAPL,"Apple Inc",EQUITY,US,US,USD,USA,,,2,2
MSFT.US,MSFT,"Microsoft Corporation",EQUITY,US,US,USD,US,,,2,2
AMZN.US,AMZN,"Amazon.com Inc",EQUITY,US,US,USD,USA,,,2,2
NVDA.US,NVDA,"NVIDIA Corporation",EQUITY,US,US,USD,US,,,2,2
GOOGL.US,GOOGL,"Alphabet Inc.",EQUITY,US,US,USD,US,,,2,2
META.US,META,"Meta Platforms Inc.",EQUITY,US,US,USD,US,,,2,2
TSLA.US,TSLA,"Tesla Inc.",EQUITY,US,US,USD,US,,,2,2
BRK-B.US,BRK-B,"Berkshire Hathaway Inc.",EQUITY,US,US,USD,US,,,2,2
UNH.US,UNH,"UnitedHealth Group Inc.",EQUITY,US,US,USD,US,,,2,2
JNJ.US,JNJ,"Johnson & Johnson",EQUITY,US,US,USD,US,,,2,2
JPM.US,JPM,"JPMorgan Chase & Co.",EQUITY,US,US,USD,US,,,2,2
V.US,V,"Visa Inc.",EQUITY,US,US,USD,US,,,2,2
PG.US,PG,"Procter & Gamble Co.",EQUITY,US,US,USD,US,,,2,2
XOM.US,XOM,"Exxon Mobil Corporation",EQUITY,US,US,USD,US,,,2,2
HD.US,HD,"Home Depot Inc.",EQUITY,US,US,USD,US,,,2,2
CVX.US,CVX,"Chevron Corporation",EQUITY,US,US,USD,US,,,2,2
MA.US,MA,"Mastercard Inc.",EQUITY,US,US,USD,US,,,2,2
ABBV.US,ABBV,"AbbVie Inc",EQUITY,US,US,USD,USA,,,2,2
MRK.US,MRK,"Merck & Co. Inc.",EQUITY,US,US,USD,US,,,2,2
LLY.US,LLY,"Eli Lilly and Company",EQUITY,US,US,USD,US,,,2,2
PFE.US,PFE,"Pfizer Inc.",EQUITY,US,US,USD,US,,,2,2
KO.US,KO,"Coca-Cola Company",EQUITY,US,US,USD,US,,,2,2
PEP.US,PEP,"PepsiCo Inc.",EQUITY,US,US,USD,US,,,2,2
COST.US,COST,"Costco Wholesale Corporation",EQUITY,US,US,USD,US,,,2,2
AVGO.US,AVGO,"Broadcom Inc",EQUITY,US,US,USD,USA,,,2,2
TMO.US,TMO,"Thermo Fisher Scientific Inc.",EQUITY,US,US,USD,US,,,2,2
MCD.US,MCD,"McDonald's Corporation",EQUITY,US,US,USD,US,,,2,2
WMT.US,WMT,"Walmart Inc.",EQUITY,US,US,USD,US,,,2,2
CSCO.US,CSCO,"Cisco Systems Inc.",EQUITY,US,US,USD,US,,,2,2
ACN.US,ACN,"Accenture plc",EQUITY,US,US,USD,USA,,,2,2
ABT.US,ABT,"Abbott Laboratories",EQUITY,US,US,USD,USA,,,2,2
DHR.US,DHR,"Danaher Corporation",EQUITY,US,US,USD,US,,,2,2
NEE.US,NEE,"NextEra Energy Inc.",EQUITY,US,US,USD,US,,,2,2
VZ.US,VZ,"Verizon Communications Inc.",EQUITY,US,US,USD,US,,,2,2
DIS.US,DIS,"Walt Disney Company",EQUITY,US,US,USD,US,,,2,2
